"110年10月 1104 環泥             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","872,023","18,230,320","21.25","21.25","20.75","20.90","-0.35","492",
"110/10/04","920,462","18,944,978","20.90","20.90","20.30","20.55","-0.35","559",
"110/10/05","428,015","8,746,455","20.30","20.60","20.25","20.55"," 0.00","196",
"110/10/06","475,013","9,722,818","20.70","20.70","20.35","20.50","-0.05","281",
"110/10/07","437,509","9,106,153","20.75","20.95","20.60","20.90","+0.40","272",
"110/10/08","441,104","9,111,023","20.95","20.95","20.50","20.70","-0.20","283",
"110/10/12","743,152","15,225,136","20.80","20.80","20.30","20.65","-0.05","424",
"110/10/13","585,220","12,067,487","20.80","20.80","20.50","20.75","+0.10","258",
"110/10/14","405,200","8,359,162","20.75","20.80","20.50","20.80","+0.05","193",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
