"110年10月 1108 幸福             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","295,580","3,484,042","12.00","12.00","11.60","11.65","-0.30","167",
"110/10/04","256,277","2,979,796","11.90","11.90","11.50","11.50","-0.15","156",
"110/10/05","217,272","2,464,957","11.35","11.55","11.20","11.55","+0.05","116",
"110/10/06","138,054","1,597,389","11.60","11.65","11.50","11.55"," 0.00","88",
"110/10/07","241,410","2,821,597","11.65","11.75","11.60","11.70","+0.15","154",
"110/10/08","163,696","1,919,763","11.70","11.80","11.65","11.65","-0.05","127",
"110/10/12","189,268","2,192,607","11.65","11.70","11.50","11.60","-0.05","139",
"110/10/13","147,559","1,715,342","11.70","11.75","11.55","11.60"," 0.00","132",
"110/10/14","104,324","1,206,958","11.60","11.70","11.50","11.60"," 0.00","79",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
