"110年10月 1110 東泥             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","902,661","18,614,408","21.40","21.40","20.15","20.85","-0.80","524",
"110/10/04","637,570","13,293,342","20.85","21.30","20.35","21.00","+0.15","322",
"110/10/05","773,462","16,273,695","20.90","21.30","20.60","21.20","+0.20","366",
"110/10/06","1,518,424","32,597,473","21.30","21.80","21.20","21.70","+0.50","572",
"110/10/07","2,910,747","64,863,146","21.85","22.80","21.70","22.55","+0.85","1,129",
"110/10/08","848,112","18,815,735","22.60","22.65","21.80","22.25","-0.30","468",
"110/10/12","764,428","16,158,645","22.05","22.20","20.80","20.80","-1.45","433",
"110/10/13","1,130,562","22,866,649","20.90","21.00","19.80","20.20","-0.60","582",
"110/10/14","335,559","6,823,962","20.65","20.70","20.05","20.25","+0.05","207",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
