"110年10月 1522 堤維西           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","266,708","5,200,855","19.95","19.95","19.25","19.40","-0.55","181",
"110/10/04","119,140","2,310,514","19.55","19.65","19.20","19.25","-0.15","64",
"110/10/05","206,110","3,991,821","19.00","19.65","19.00","19.65","+0.40","113",
"110/10/06","110,873","2,161,708","19.75","19.75","19.40","19.40","-0.25","87",
"110/10/07","206,100","4,078,030","19.45","19.90","19.45","19.80","+0.40","152",
"110/10/08","129,251","2,551,017","20.00","20.05","19.50","19.70","-0.10","97",
"110/10/12","343,340","6,639,872","19.60","19.70","19.20","19.20","-0.50","266",
"110/10/13","175,003","3,358,110","19.20","19.40","19.10","19.25","+0.05","149",
"110/10/14","166,344","3,193,869","19.25","19.40","19.10","19.20","-0.05","139",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
