"110年10月 2204 中華             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","2,157,102","155,376,513","73.50","73.50","71.10","71.30","-2.60","1,422",
"110/10/04","1,411,260","102,117,091","71.90","73.00","71.60","72.20","+0.90","1,071",
"110/10/05","1,066,018","76,351,405","72.00","72.30","71.10","71.90","-0.30","1,235",
"110/10/06","898,759","64,859,774","72.10","72.80","71.60","72.20","+0.30","680",
"110/10/07","1,105,806","80,384,825","72.40","73.20","72.20","72.60","+0.40","836",
"110/10/08","1,710,833","125,891,273","72.40","74.00","72.40","73.80","+1.20","1,557",
"110/10/12","4,328,393","302,364,124","72.30","72.40","68.90","69.20","-4.60","2,959",
"110/10/13","1,019,647","71,280,377","69.60","70.40","69.40","70.00","+0.80","830",
"110/10/14","666,325","46,698,666","70.40","70.70","69.70","69.80","-0.20","616",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
