"110年10月 2247 汎德永業         各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","95,961","20,036,105","209.50","210.00","207.50","209.00","-1.50","192",
"110/10/04","59,278","12,313,387","208.00","210.00","206.50","206.50","-2.50","144",
"110/10/05","44,000","8,986,748","202.50","205.50","202.50","204.50","-2.00","148",
"110/10/06","39,659","8,079,682","205.00","205.00","203.00","203.50","-1.00","89",
"110/10/07","50,102","10,235,379","203.00","205.00","203.00","205.00","+1.50","97",
"110/10/08","39,532","8,064,684","205.00","205.00","203.00","204.00","-1.00","105",
"110/10/12","104,974","21,606,834","205.00","210.50","202.00","210.50","+6.50","152",
"110/10/13","31,277","6,534,708","211.50","211.50","207.00","208.00","-2.50","95",
"110/10/14","32,932","6,816,825","206.50","208.00","206.50","208.00"," 0.00","70",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
