"110年10月 2250 IKKA-KY          各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","361,472","37,972,902","112.50","112.50","102.00","104.00","-9.00","409",
"110/10/04","218,909","22,036,892","106.00","106.50","99.10","100.00","-4.00","232",
"110/10/05","167,490","17,381,799","101.00","109.00","98.00","104.50","+4.50","193",
"110/10/06","108,674","11,025,875","104.00","104.50","100.00","100.50","-4.00","143",
"110/10/07","74,889","7,776,813","100.50","105.00","100.50","103.50","+3.00","92",
"110/10/08","41,558","4,267,275","102.00","104.00","102.00","103.00","-0.50","57",
"110/10/12","113,371","11,236,617","99.00","100.50","98.00","100.50","-2.50","403",
"110/10/13","87,572","8,545,078","100.00","100.00","96.70","96.80","-3.70","242",
"110/10/14","68,756","6,704,084","96.80","99.50","96.60","99.50","+2.70","129",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
