"110年10月 6288 聯嘉             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","1,829,454","49,052,029","27.40","27.80","26.35","26.60","-1.30","1,111",
"110/10/04","1,494,397","39,665,046","26.60","27.20","25.80","26.70","+0.10","911",
"110/10/05","3,631,692","100,686,094","26.55","28.50","25.80","28.50","+1.80","1,934",
"110/10/06","6,669,326","192,939,095","29.35","29.70","28.00","28.40","-0.10","3,846",
"110/10/07","2,439,174","69,198,541","28.95","28.95","28.15","28.20","-0.20","1,405",
"110/10/08","1,937,142","55,109,637","28.20","28.90","28.00","28.20"," 0.00","1,162",
"110/10/12","1,687,863","46,215,559","28.00","28.00","27.05","27.25","-0.95","952",
"110/10/13","1,238,389","33,790,011","27.20","27.85","27.00","27.05","-0.20","738",
"110/10/14","1,304,995","34,570,441","27.35","27.45","26.05","26.15","-0.90","827",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
