"110年10月 8926 台汽電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","1,045,880","40,378,883","38.75","38.80","38.35","38.55","-0.15","694",
"110/10/04","2,227,522","86,556,019","38.65","39.35","38.35","38.40","-0.15","2,132",
"110/10/05","618,431","23,633,866","38.30","38.50","37.90","38.35","-0.05","728",
"110/10/06","426,470","16,372,515","38.40","38.60","38.15","38.30","-0.05","353",
"110/10/07","791,742","30,660,907","38.60","38.90","38.45","38.80","+0.50","598",
"110/10/08","394,290","15,271,254","38.90","39.00","38.60","38.70","-0.10","337",
"110/10/12","1,716,491","67,028,947","38.75","39.30","38.50","39.25","+0.55","1,144",
"110/10/13","719,576","28,106,361","39.45","39.50","38.85","38.95","-0.30","535",
"110/10/14","464,830","18,078,603","39.00","39.20","38.70","38.80","-0.15","340",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
