"110年10月 9931 欣高             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","49,682","1,959,832","40.50","40.50","38.75","39.70","-0.80","38",
"110/10/04","46,580","1,808,060","38.80","39.15","38.55","38.55","-1.15","47",
"110/10/05","17,001","654,688","38.50","38.85","38.00","38.70","+0.15","15",
"110/10/06","5,090","197,905","38.75","39.00","38.75","38.90","+0.20","8",
"110/10/07","3,238","126,115","38.90","38.95","38.90","38.95","+0.05","7",
"110/10/08","1,005","39,144","38.95","38.95","38.95","38.95"," 0.00","2",
"110/10/12","17,200","662,690","38.95","38.95","38.30","38.70","-0.25","18",
"110/10/13","10,000","387,600","38.70","39.35","38.65","39.35","+0.65","4",
"110/10/14","3,000","117,050","39.05","39.15","38.85","39.15","-0.20","3",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
