"110年10月 1809 中釉             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","1,816,655","26,704,733","15.10","15.10","14.40","14.50","-0.60","797",
"110/10/04","3,174,675","47,040,814","14.80","15.30","14.45","14.45","-0.05","1,367",
"110/10/05","1,182,584","16,917,185","14.50","14.55","14.05","14.40","-0.05","557",
"110/10/06","1,342,393","19,023,293","14.50","14.65","13.85","14.05","-0.35","604",
"110/10/07","2,264,677","33,299,133","14.20","15.00","14.20","14.90","+0.85","940",
"110/10/08","9,732,867","151,489,837","15.10","16.35","14.90","15.00","+0.10","3,474",
"110/10/12","2,660,546","38,621,524","14.60","14.80","14.30","14.40","-0.60","1,077",
"110/10/13","1,345,179","19,216,022","14.60","14.60","14.05","14.15","-0.25","688",
"110/10/14","2,232,621","31,927,725","14.25","14.55","14.00","14.40","+0.25","920",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
