"110年10月 3705 永信             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","295,332","12,637,475","43.00","43.00","42.65","42.75","-0.35","143",
"110/10/04","138,974","5,934,078","42.60","43.00","42.60","42.70","-0.05","96",
"110/10/05","242,372","10,350,800","42.70","42.80","42.65","42.70"," 0.00","92",
"110/10/06","79,977","3,423,210","42.85","42.85","42.70","42.80","+0.10","64",
"110/10/07","133,310","5,728,560","42.90","43.00","42.85","42.95","+0.15","90",
"110/10/08","162,562","6,976,886","42.95","43.00","42.85","42.95"," 0.00","83",
"110/10/12","173,470","7,456,909","42.70","43.45","42.70","43.10","+0.15","130",
"110/10/13","74,831","3,220,066","43.10","43.20","42.95","43.10"," 0.00","82",
"110/10/14","130,205","5,620,542","43.05","43.25","43.05","43.20","+0.10","100",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
