"110年10月 4137 麗豐-KY          各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","77,680","15,157,229","198.50","198.50","193.00","194.00","-5.00","78",
"110/10/04","69,153","13,453,774","194.50","196.50","193.00","194.50","+0.50","72",
"110/10/05","91,265","17,747,826","193.50","195.50","193.50","194.50"," 0.00","82",
"110/10/06","1,378,514","293,685,074","213.00","213.50","208.00","213.50","+19.00","849",
"110/10/07","1,079,233","233,207,153","214.00","219.50","211.00","219.50","+6.00","829",
"110/10/08","491,838","108,485,404","219.00","223.00","215.50","221.00","+1.50","544",
"110/10/12","1,047,229","235,132,457","222.00","231.00","218.00","224.00","+3.00","2,249",
"110/10/13","425,315","94,985,122","226.50","227.50","219.50","220.50","-3.50","965",
"110/10/14","179,462","39,600,030","223.50","224.00","218.50","220.50"," 0.00","816",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
