"110年10月 6666 羅麗芬-KY        各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","25,154","1,737,135","69.40","69.60","68.30","69.20","-0.40","32",
"110/10/04","36,084","2,475,480","69.60","69.90","67.80","69.00","-0.20","35",
"110/10/05","4,050","277,860","68.90","68.90","68.40","68.50","-0.50","5",
"110/10/06","24,000","1,670,400","69.90","70.50","68.60","69.80","+1.30","21",
"110/10/07","7,255","504,368","69.80","69.80","69.00","69.80"," 0.00","11",
"110/10/08","11,030","768,321","69.60","70.00","69.30","70.00","+0.20","11",
"110/10/12","24,037","1,656,784","70.00","70.00","68.00","68.80","-1.20","26",
"110/10/13","28,083","1,885,920","67.60","68.00","66.50","66.50","-2.30","29",
"110/10/14","15,000","1,006,400","66.50","68.00","66.10","66.90","+0.40","15",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
