"110年10月 1409 新纖             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","22,336,215","439,670,842","20.25","20.30","19.20","19.30","-1.20","8,614",
"110/10/04","9,279,546","177,111,765","19.60","19.65","18.80","18.90","-0.40","3,620",
"110/10/05","6,004,468","112,642,815","18.50","19.20","18.40","19.20","+0.30","2,310",
"110/10/06","9,921,627","193,435,137","19.50","19.80","19.20","19.25","+0.05","3,555",
"110/10/07","3,411,722","66,336,449","19.40","19.55","19.25","19.45","+0.20","1,297",
"110/10/08","4,686,179","90,389,480","19.60","19.60","19.10","19.20","-0.25","1,702",
"110/10/12","5,436,637","102,365,522","19.05","19.10","18.70","18.70","-0.50","2,234",
"110/10/13","4,385,442","81,503,712","18.75","18.90","18.40","18.55","-0.15","1,981",
"110/10/14","3,214,717","59,487,879","18.60","18.70","18.35","18.50","-0.05","1,392",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
