"110年10月 1419 新紡             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","61,002","2,496,380","40.65","41.10","40.65","41.00","-0.20","39",
"110/10/04","5,007","204,386","40.90","40.90","40.80","40.80","-0.20","10",
"110/10/05","48,036","1,978,882","41.10","41.45","40.90","41.05","+0.25","41",
"110/10/06","34,916","1,433,388","41.10","41.20","40.75","40.75","-0.30","26",
"110/10/07","624,285","25,911,066","41.20","41.70","41.20","41.45","+0.70","111",
"110/10/08","85,009","3,527,465","41.50","41.65","41.35","41.35","-0.10","14",
"110/10/12","17,043","700,004","41.35","41.35","40.85","41.05","-0.30","15",
"110/10/13","17,005","697,906","41.45","41.45","40.85","41.15","+0.10","16",
"110/10/14","14,343","593,065","41.30","41.40","41.30","41.40","+0.25","13",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
