"110年10月 1439 中和             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","61,195","1,369,135","22.20","22.70","22.10","22.60","-0.10","41",
"110/10/04","6,001","135,224","22.20","22.60","22.20","22.60"," 0.00","6",
"110/10/05","14,771","332,382","22.55","22.90","22.35","22.40","-0.20","20",
"110/10/06","20,000","450,450","22.80","23.10","22.35","22.35","-0.05","18",
"110/10/07","15,005","338,113","22.90","22.90","22.40","22.60","+0.25","11",
"110/10/08","14,000","318,450","22.80","22.90","22.55","22.55","-0.05","9",
"110/10/12","18,000","398,050","22.15","22.15","22.10","22.10","-0.45","15",
"110/10/13","25,000","550,300","22.10","22.10","21.95","22.00","-0.10","19",
"110/10/14","10,283","225,987","21.95","22.15","21.95","22.10","+0.10","13",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
