"110年10月 1466 聚隆             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","974,903","16,302,927","17.10","17.30","16.35","16.45","-0.75","433",
"110/10/04","451,025","7,306,801","16.60","16.65","16.00","16.00","-0.45","246",
"110/10/05","249,053","3,976,951","16.00","16.25","15.55","16.00"," 0.00","157",
"110/10/06","230,566","3,694,310","16.15","16.45","15.75","15.80","-0.20","167",
"110/10/07","255,141","4,124,720","16.00","16.30","16.00","16.15","+0.35","132",
"110/10/08","162,058","2,603,785","16.25","16.30","16.00","16.00","-0.15","108",
"110/10/12","622,013","9,622,197","15.65","15.65","15.30","15.30","-0.70","347",
"110/10/13","489,983","7,377,870","15.20","15.55","14.80","14.85","-0.45","288",
"110/10/14","292,571","4,366,999","14.95","15.15","14.75","14.85"," 0.00","179",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
