"110年10月 4438 廣越             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","82,005","9,276,617","116.50","116.50","112.00","112.00","-4.00","75",
"110/10/04","42,012","4,762,870","113.00","114.00","112.50","113.50","+1.50","42",
"110/10/05","60,599","6,945,934","113.00","116.50","112.50","114.50","+1.00","80",
"110/10/06","78,300","8,917,500","115.00","115.50","113.00","113.50","-1.00","202",
"110/10/07","80,105","9,207,802","114.00","116.00","114.00","116.00","+2.50","86",
"110/10/08","43,199","4,986,711","116.00","116.00","115.00","116.00"," 0.00","41",
"110/10/12","82,350","9,336,800","115.00","115.00","112.50","113.00","-3.00","236",
"110/10/13","34,010","3,855,139","114.00","114.00","113.00","113.50","+0.50","34",
"110/10/14","45,177","5,100,082","113.50","113.50","112.00","112.50","-1.00","51",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
