"110年10月 2617 台航             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","33,710,016","1,499,905,854","45.50","46.30","41.80","43.10","-1.70","16,927",
"110/10/04","16,949,193","694,769,324","43.45","44.05","38.85","38.85","-4.25","9,951",
"110/10/05","8,569,068","327,826,047","37.00","39.85","36.75","39.45","+0.60","5,485",
"110/10/06","7,081,655","269,244,225","39.45","39.45","37.25","37.25","-2.20","4,362",
"110/10/07","14,155,235","569,914,901","38.25","40.95","38.25","40.95","+3.70","7,622",
"110/10/08","18,351,155","745,481,244","41.80","41.80","39.50","40.20","-0.75","9,284",
"110/10/12","7,518,443","281,965,746","38.95","39.40","36.50","37.10","-3.10","4,686",
"110/10/13","6,141,803","229,572,719","37.40","38.65","36.60","36.60","-0.50","3,935",
"110/10/14","8,300,106","305,334,034","36.60","37.80","35.40","37.10","+0.50","4,914",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
