"110年10月 2630 亞航             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","250,857","4,497,327","17.80","18.15","17.70","17.75","-0.35","176",
"110/10/04","799,028","14,545,354","18.30","18.95","17.30","17.60","-0.15","395",
"110/10/05","160,384","2,838,979","17.60","17.90","17.35","17.85","+0.25","94",
"110/10/06","108,439","1,920,702","18.00","18.20","17.60","17.65","-0.20","84",
"110/10/07","280,654","5,041,893","17.70","18.20","17.70","18.00","+0.35","174",
"110/10/08","125,733","2,232,929","17.90","17.90","17.65","17.80","X0.00","82",
"110/10/12","195,060","3,392,453","17.70","17.80","17.25","17.30","-0.50","128",
"110/10/13","101,152","1,763,489","17.90","17.90","17.30","17.40","+0.10","72",
"110/10/14","70,600","1,227,499","17.40","17.45","17.35","17.45","+0.05","53",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
