"110年10月 2753 八方雲集         各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","906,707","125,124,233","144.50","144.50","135.50","137.50","-7.00","1,318",
"110/10/04","314,150","42,882,666","139.00","139.00","135.00","136.00","-1.50","461",
"110/10/05","292,366","39,876,502","135.00","141.00","133.00","141.00","+5.00","393",
"110/10/06","288,065","41,430,595","141.00","146.00","141.00","142.50","+1.50","428",
"110/10/07","102,130","14,603,600","143.50","143.50","142.50","142.50"," 0.00","252",
"110/10/08","172,772","24,144,663","142.00","142.00","138.00","139.00","-3.50","265",
"110/10/12","147,575","20,316,786","139.50","139.50","136.50","137.00","-2.00","227",
"110/10/13","115,852","16,014,896","138.00","140.00","137.00","137.50","+0.50","163",
"110/10/14","105,508","14,700,895","139.00","141.00","138.50","140.00","+2.50","172",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
