"110年10月 5706 鳳凰             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","296,845","12,334,151","42.20","42.25","41.05","41.30","-1.40","242",
"110/10/04","1,073,468","46,835,229","43.40","45.30","42.05","42.70","+1.40","790",
"110/10/05","838,347","36,338,749","42.50","44.05","41.80","43.10","+0.40","557",
"110/10/06","246,576","10,491,264","42.80","43.30","42.10","42.25","-0.85","198",
"110/10/07","617,611","26,931,536","42.70","44.30","42.65","43.85","+1.60","426",
"110/10/08","290,283","12,651,485","43.90","44.45","43.15","43.25","-0.60","226",
"110/10/12","226,296","9,619,663","43.25","43.25","42.10","42.35","-0.90","193",
"110/10/13","384,383","16,366,327","42.40","43.30","41.90","42.85","+0.50","226",
"110/10/14","120,657","5,183,488","43.00","43.10","42.70","43.00","+0.15","109",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
