"110年10月 2913 農林             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","9,013,225","188,416,839","21.00","21.50","20.30","20.50","-0.40","3,179",
"110/10/04","6,083,716","126,201,286","20.75","21.15","20.50","20.50"," 0.00","2,730",
"110/10/05","6,432,013","129,178,058","20.40","20.40","19.70","20.25","-0.25","1,966",
"110/10/06","5,764,636","115,363,616","20.35","20.45","19.80","19.95","-0.30","1,749",
"110/10/07","3,903,039","79,815,294","20.05","20.80","20.00","20.60","+0.65","1,357",
"110/10/08","2,945,085","60,922,989","20.80","20.95","20.55","20.65","+0.05","761",
"110/10/12","5,530,706","116,273,143","20.75","21.40","20.65","20.95","+0.30","1,907",
"110/10/13","2,212,544","46,377,741","21.10","21.25","20.75","20.80","-0.15","1,054",
"110/10/14","12,575,783","267,411,483","21.00","21.80","20.65","20.65","-0.15","3,580",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
