"110年10月 2480 敦陽科           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","167,781","11,593,446","69.40","69.40","68.90","69.00","-0.70","169",
"110/10/04","170,532","11,765,442","69.00","69.30","68.70","69.00"," 0.00","173",
"110/10/05","110,008","7,600,671","69.00","69.40","68.80","69.40","+0.40","103",
"110/10/06","156,653","10,936,790","69.70","70.30","69.40","69.50","+0.10","179",
"110/10/07","106,685","7,447,958","69.40","70.00","69.30","69.80","+0.30","173",
"110/10/08","196,696","13,774,137","69.90","70.30","69.80","69.90","+0.10","197",
"110/10/12","204,929","14,287,709","70.00","70.00","69.30","69.60","-0.30","196",
"110/10/13","117,303","8,152,125","69.70","69.70","69.40","69.40","-0.20","130",
"110/10/14","72,969","5,076,624","69.50","69.80","69.40","69.50","+0.10","133",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
