"110年10月 3130 一零四           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","3,895","689,624","175.50","178.50","175.50","178.50","-1.50","47",
"110/10/04","2,447","436,880","178.50","178.50","178.50","178.50"," 0.00","19",
"110/10/05","7,459","1,309,353","175.00","176.50","175.00","176.50","-2.00","28",
"110/10/06","2,908","514,926","176.50","178.00","176.50","178.00","+1.50","28",
"110/10/07","7,173","1,267,435","176.50","176.50","176.50","176.50","-1.50","57",
"110/10/08","7,997","1,392,359","175.50","175.50","170.00","175.00","-1.50","55",
"110/10/12","4,858","856,022","176.00","176.00","176.00","176.00","+1.00","42",
"110/10/13","2,282","403,360","177.00","177.00","176.00","176.00"," 0.00","16",
"110/10/14","10,034","1,766,084","176.00","176.00","176.00","176.00"," 0.00","28",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
