"110年10月 6214 精誠             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","265,059","22,870,080","86.80","86.80","86.00","86.30","-1.20","272",
"110/10/04","364,828","31,273,195","86.30","86.50","85.40","85.80","-0.50","260",
"110/10/05","218,598","18,670,517","85.80","86.10","84.90","86.10","+0.30","219",
"110/10/06","96,242","8,312,883","86.50","86.90","86.00","86.50","+0.40","111",
"110/10/07","185,582","16,133,210","86.60","87.20","86.50","87.00","+0.50","190",
"110/10/08","65,299","5,674,852","87.00","87.00","86.60","87.00"," 0.00","70",
"110/10/12","182,774","15,802,747","86.40","86.80","86.30","86.50","-0.50","188",
"110/10/13","298,307","25,600,825","86.30","86.40","85.50","85.60","-0.90","290",
"110/10/14","297,150","25,337,704","86.00","86.10","85.00","85.30","-0.30","261",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
