"110年10月 2439 美律             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","1,744,762","149,201,381","88.00","88.00","84.60","84.70","-3.70","1,407",
"110/10/04","943,492","79,219,387","85.00","85.90","83.00","83.00","-1.70","938",
"110/10/05","1,510,704","126,116,584","83.00","84.80","81.80","83.50","+0.50","1,416",
"110/10/06","655,472","54,450,814","84.20","84.30","82.30","82.30","-1.20","609",
"110/10/07","1,455,050","121,991,888","82.80","85.20","82.80","85.10","+2.80","1,100",
"110/10/08","1,258,624","107,928,196","85.10","87.10","84.60","85.30","+0.20","1,328",
"110/10/12","658,796","55,620,672","85.00","85.10","84.00","84.50","-0.80","713",
"110/10/13","1,078,723","89,250,134","84.50","84.50","81.60","82.00","-2.50","842",
"110/10/14","1,658,884","132,543,102","82.00","82.00","78.80","79.20","-2.80","1,353",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
