"110年10月 2450 神腦             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","86,418","2,703,286","31.50","31.55","31.15","31.20","-0.30","80",
"110/10/04","53,372","1,668,834","31.55","31.55","31.15","31.25","+0.05","55",
"110/10/05","48,624","1,520,430","31.25","31.35","31.05","31.35","+0.10","43",
"110/10/06","130,908","4,083,369","31.20","31.35","31.05","31.10","-0.25","97",
"110/10/07","123,198","3,851,843","31.10","31.35","31.10","31.30","+0.20","79",
"110/10/08","72,175","2,269,875","31.40","31.60","31.30","31.45","+0.15","55",
"110/10/12","32,030","1,001,494","31.20","31.45","31.20","31.25","-0.20","33",
"110/10/13","95,967","3,000,459","31.25","31.45","31.10","31.25"," 0.00","78",
"110/10/14","88,491","2,762,959","31.20","31.45","31.00","31.45","+0.20","77",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
