"110年10月 3045 台灣大           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","4,531,162","445,424,021","98.50","98.70","98.10","98.60","-0.30","2,574",
"110/10/04","2,553,878","251,612,081","98.60","99.00","98.10","98.80","+0.20","1,667",
"110/10/05","3,206,896","317,659,062","98.70","99.50","98.30","99.20","+0.40","2,092",
"110/10/06","3,470,329","342,817,398","99.30","99.30","98.30","99.20"," 0.00","2,706",
"110/10/07","3,087,161","306,437,049","99.20","99.60","98.80","99.20"," 0.00","2,048",
"110/10/08","2,561,079","253,189,850","98.80","99.30","98.70","98.90","-0.30","2,035",
"110/10/12","4,750,707","467,793,131","98.50","99.00","97.60","99.00","+0.10","2,222",
"110/10/13","2,854,666","281,307,127","99.20","99.30","98.20","98.80","-0.20","1,790",
"110/10/14","1,836,373","180,852,306","99.00","99.00","98.30","98.30","-0.50","1,168",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
