"110年10月 3704 合勤控           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","1,614,102","39,187,054","24.80","24.85","23.80","23.95","-1.15","1,035",
"110/10/04","2,477,520","56,946,424","24.10","24.10","22.60","22.65","-1.30","1,301",
"110/10/05","1,478,755","33,184,060","22.40","23.05","21.75","22.95","+0.30","729",
"110/10/06","1,129,422","25,586,663","23.20","23.20","22.30","22.45","-0.50","655",
"110/10/07","1,920,538","45,204,882","22.55","24.10","22.55","23.85","+1.40","1,080",
"110/10/08","1,272,258","30,888,371","24.00","24.65","23.80","24.50","+0.65","753",
"110/10/12","786,337","19,051,938","24.05","24.75","23.95","24.10","-0.40","463",
"110/10/13","813,315","19,813,414","24.50","24.65","24.10","24.40","+0.30","458",
"110/10/14","965,162","23,466,272","24.75","24.85","23.90","24.40"," 0.00","559",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
