"110年10月 8101 華冠             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","91,076","222,880","2.46","2.46","2.43","2.43","-0.07","31",
"110/10/04","143,837","348,086","2.43","2.43","2.41","2.43"," 0.00","46",
"110/10/05","117,001","284,382","2.43","2.44","2.42","2.44","+0.01","21",
"110/10/06","57,950","139,362","2.44","2.44","2.39","2.40","-0.04","26",
"110/10/07","24,173","59,057","2.42","2.46","2.42","2.45","+0.05","20",
"110/10/08","119,515","288,924","2.43","2.45","2.40","2.45"," 0.00","29",
"110/10/12","77,336","187,164","2.42","2.43","2.42","2.42","-0.03","19",
"110/10/13","64,000","154,480","2.41","2.45","2.41","2.45","+0.03","25",
"110/10/14","19,500","47,523","2.47","2.47","2.41","2.45"," 0.00","16",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
