"110年10月 1903 士紙             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","3,560,708","259,496,252","71.90","74.70","70.40","72.50","+0.70","2,010",
"110/10/04","2,043,741","144,678,297","73.20","74.00","69.10","69.50","-3.00","1,833",
"110/10/05","752,078","51,517,814","69.30","69.50","67.50","68.30","-1.20","893",
"110/10/06","724,805","48,700,223","68.70","69.10","66.00","66.00","-2.30","774",
"110/10/07","439,746","29,637,050","66.00","68.10","66.00","67.20","+1.20","461",
"110/10/08","415,692","27,683,157","68.00","68.00","65.80","66.60","-0.60","419",
"110/10/12","455,459","30,412,111","65.80","68.30","65.60","66.40","-0.20","492",
"110/10/13","306,821","20,437,146","66.60","67.70","66.10","66.40"," 0.00","278",
"110/10/14","211,729","14,028,867","67.40","67.40","65.50","65.90","-0.50","342",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
