"110年10月 6790 永豐實           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","2,036,164","106,507,722","52.50","53.40","51.90","52.70","-0.80","1,476",
"110/10/04","2,221,248","114,743,537","53.00","53.00","50.50","52.40","-0.30","1,296",
"110/10/05","1,591,288","82,420,039","51.40","52.70","50.40","52.70","+0.30","857",
"110/10/06","497,280","25,691,341","52.50","52.50","51.10","51.10","-1.60","435",
"110/10/07","723,210","36,947,835","51.10","51.50","50.80","50.90","-0.20","573",
"110/10/08","650,541","32,843,909","51.00","51.00","50.20","50.20","-0.70","564",
"110/10/12","764,072","37,457,182","49.95","49.95","48.70","48.75","-1.45","788",
"110/10/13","696,288","33,623,868","49.00","49.10","47.65","47.65","-1.10","659",
"110/10/14","298,253","14,318,071","47.90","48.55","47.55","48.40","+0.75","386",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
