"110年10月 2820 華票             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","2,031,457","32,535,577","16.25","16.25","15.70","16.05","-0.20","953",
"110/10/04","554,242","8,885,232","16.10","16.10","16.00","16.05"," 0.00","296",
"110/10/05","773,764","12,387,435","16.00","16.10","15.95","16.05"," 0.00","366",
"110/10/06","524,951","8,434,158","16.05","16.10","16.00","16.10","+0.05","269",
"110/10/07","527,891","8,511,858","16.10","16.20","16.05","16.10"," 0.00","274",
"110/10/08","356,258","5,743,084","16.10","16.15","16.10","16.15","+0.05","202",
"110/10/12","686,717","11,089,036","16.15","16.25","16.05","16.15"," 0.00","431",
"110/10/13","700,069","11,343,550","16.20","16.25","16.15","16.20","+0.05","294",
"110/10/14","597,662","9,691,017","16.25","16.30","16.15","16.25","+0.05","304",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
