"110年10月 2834 臺企銀           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","29,104,036","275,341,808","9.55","9.55","9.43","9.46","-0.10","8,010",
"110/10/04","10,734,090","101,495,916","9.47","9.50","9.43","9.47","+0.01","3,248",
"110/10/05","16,156,606","152,584,090","9.48","9.49","9.42","9.44","-0.03","4,225",
"110/10/06","23,298,389","220,068,886","9.50","9.50","9.42","9.47","+0.03","4,931",
"110/10/07","16,610,586","157,878,064","9.46","9.55","9.46","9.53","+0.06","3,035",
"110/10/08","8,674,455","82,411,388","9.50","9.52","9.49","9.50","-0.03","2,845",
"110/10/12","18,489,042","175,006,278","9.49","9.51","9.41","9.49","-0.01","3,926",
"110/10/13","12,506,877","118,259,814","9.48","9.51","9.43","9.44","-0.05","5,363",
"110/10/14","13,315,946","125,744,697","9.49","9.49","9.42","9.44"," 0.00","4,646",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
