"110年10月 2880 華南金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","18,727,342","377,816,581","20.25","20.30","20.10","20.25","-0.15","6,638",
"110/10/04","11,116,094","224,345,720","20.25","20.30","20.10","20.20","-0.05","2,825",
"110/10/05","8,301,116","167,050,710","20.15","20.20","20.05","20.10","-0.10","3,169",
"110/10/06","14,626,597","294,383,165","20.15","20.30","20.00","20.20","+0.10","4,380",
"110/10/07","8,013,037","162,617,845","20.30","20.35","20.20","20.30","+0.10","2,367",
"110/10/08","6,865,038","138,657,993","20.35","20.35","20.15","20.15","-0.15","3,990",
"110/10/12","12,560,565","251,741,571","20.00","20.15","19.95","20.10","-0.05","5,075",
"110/10/13","4,979,761","100,154,675","20.15","20.15","20.05","20.10"," 0.00","2,574",
"110/10/14","6,108,845","123,018,661","20.20","20.25","20.05","20.05","-0.05","3,011",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
