"110年10月 2886 兆豐金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","23,590,234","753,241,975","32.00","32.10","31.85","32.05"," 0.00","11,412",
"110/10/04","9,389,730","301,056,461","32.05","32.15","32.00","32.10","+0.05","4,133",
"110/10/05","15,014,431","480,883,366","32.05","32.10","31.90","32.05","-0.05","5,461",
"110/10/06","14,997,084","481,581,367","32.05","32.35","31.90","32.25","+0.20","6,202",
"110/10/07","12,345,046","399,999,515","32.35","32.50","32.25","32.40","+0.15","4,451",
"110/10/08","10,418,795","335,815,820","32.40","32.40","32.15","32.25","-0.15","3,476",
"110/10/12","21,138,827","680,023,782","32.10","32.45","31.90","32.45","+0.20","6,456",
"110/10/13","13,609,955","441,144,102","32.45","32.50","32.30","32.50","+0.05","3,907",
"110/10/14","11,486,183","372,885,874","32.50","32.60","32.30","32.30","-0.20","4,042",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
