"110年10月 2889 國票金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","6,459,844","102,810,134","16.05","16.10","15.75","15.95","-0.20","2,868",
"110/10/04","2,975,998","47,432,356","15.95","16.00","15.85","16.00","+0.05","1,644",
"110/10/05","5,908,716","93,805,105","15.90","15.95","15.80","15.90","-0.10","2,307",
"110/10/06","5,763,488","89,328,808","15.50","15.55","15.45","15.45","X0.00","3,335",
"110/10/07","3,821,876","59,517,547","15.55","15.65","15.50","15.55","+0.10","1,746",
"110/10/08","3,760,607","58,600,735","15.65","15.65","15.55","15.55"," 0.00","1,649",
"110/10/12","2,453,779","38,192,408","15.55","15.60","15.50","15.55"," 0.00","1,310",
"110/10/13","3,203,470","49,870,542","15.60","15.65","15.50","15.55"," 0.00","1,780",
"110/10/14","0","0","--","--","--","--"," 0.00","0",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
