"110年10月 6005 群益證           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","4,445,894","66,522,447","15.10","15.15","14.90","14.95","-0.25","1,760",
"110/10/04","4,124,130","60,990,686","15.05","15.05","14.65","14.70","-0.25","1,840",
"110/10/05","3,573,866","52,397,862","14.60","14.90","14.50","14.90","+0.20","1,446",
"110/10/06","3,031,783","45,353,796","14.95","15.05","14.90","15.00","+0.10","2,140",
"110/10/07","1,534,397","23,123,885","15.00","15.15","15.00","15.05","+0.05","813",
"110/10/08","1,564,589","23,587,152","15.10","15.15","15.05","15.05"," 0.00","605",
"110/10/12","2,351,430","35,069,529","14.95","15.00","14.85","14.90","-0.15","1,034",
"110/10/13","1,564,141","23,339,537","15.00","15.00","14.85","14.90"," 0.00","556",
"110/10/14","2,832,333","42,116,501","14.95","15.00","14.75","14.85","-0.05","942",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
