"110年10月 2030 彰源             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","6,544,104","207,978,385","32.65","32.80","31.00","31.35","-2.05","3,283",
"110/10/04","9,331,041","282,237,232","31.55","31.90","29.20","29.45","-1.90","4,578",
"110/10/05","6,856,840","204,861,686","29.15","30.80","28.80","30.60","+1.15","3,367",
"110/10/06","3,851,343","115,982,622","30.60","30.80","29.55","29.60","-1.00","2,276",
"110/10/07","4,135,286","125,263,605","29.85","30.80","29.65","30.30","+0.70","2,493",
"110/10/08","3,780,659","113,227,258","30.60","30.90","29.35","29.60","-0.70","1,990",
"110/10/12","5,351,240","156,636,073","29.75","30.20","28.60","28.80","-0.80","2,531",
"110/10/13","4,287,949","123,778,076","29.40","29.70","28.25","28.45","-0.35","2,295",
"110/10/14","4,112,653","118,625,441","28.80","29.25","28.20","29.05","+0.60","2,202",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
