"110年10月 1611 中電             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","612,257","6,250,528","10.20","10.30","10.10","10.20"," 0.00","282",
"110/10/04","485,077","4,907,910","10.25","10.25","10.05","10.05","-0.15","187",
"110/10/05","467,283","4,725,380","10.05","10.25","10.00","10.20","+0.15","193",
"110/10/06","167,357","1,697,491","10.25","10.25","10.05","10.05","-0.15","97",
"110/10/07","255,002","2,589,808","10.15","10.20","10.15","10.15","+0.10","119",
"110/10/08","131,796","1,334,233","10.15","10.15","10.10","10.10","-0.05","81",
"110/10/12","231,208","2,329,044","10.10","10.10","10.00","10.05","-0.05","114",
"110/10/13","564,998","5,651,884","10.10","10.10","9.95","9.98","-0.07","218",
"110/10/14","318,510","3,183,372","10.00","10.05","9.97","10.05","+0.07","132",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
