"110年10月 5283 禾聯碩           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","145,834","16,308,475","113.00","113.00","111.00","111.50","-2.00","221",
"110/10/04","55,140","6,146,658","111.50","111.50","111.00","111.50"," 0.00","89",
"110/10/05","87,773","9,700,308","111.00","111.00","110.00","110.50","-1.00","165",
"110/10/06","58,861","6,506,422","110.50","111.00","110.00","110.50"," 0.00","107",
"110/10/07","73,679","8,214,904","110.50","112.00","110.50","112.00","+1.50","85",
"110/10/08","33,404","3,720,169","112.00","112.00","111.00","111.00","-1.00","70",
"110/10/12","87,032","9,607,801","110.50","111.00","110.00","111.00"," 0.00","113",
"110/10/13","158,629","17,402,008","110.50","110.50","109.00","110.00","-1.00","217",
"110/10/14","87,500","9,577,373","109.50","110.00","109.00","110.00"," 0.00","114",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
