"110年10月 2414 精技             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","2,042,454","71,570,450","36.30","36.30","34.00","34.50","-2.20","1,462",
"110/10/04","1,507,393","52,752,185","34.90","35.90","32.75","35.50","+1.00","1,150",
"110/10/05","1,290,664","46,408,426","35.25","36.60","34.60","36.60","+1.10","976",
"110/10/06","743,833","26,913,511","36.80","36.90","35.85","36.40","-0.20","783",
"110/10/07","1,676,432","60,987,489","36.75","37.60","35.10","36.00","-0.40","1,349",
"110/10/08","767,980","27,404,548","35.80","36.50","35.10","35.10","-0.90","564",
"110/10/12","717,796","25,219,225","35.10","35.70","34.70","35.70","+0.60","476",
"110/10/13","871,898","30,377,909","35.00","35.40","34.20","35.10","-0.60","683",
"110/10/14","927,874","33,149,672","35.35","36.10","35.15","35.80","+0.70","747",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
