"110年10月 2430 燦坤             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","1,912,000","85,831,231","45.90","45.90","44.10","44.80","-1.10","1,324",
"110/10/04","4,600,391","209,778,334","45.95","47.20","44.30","45.15","+0.35","2,976",
"110/10/05","2,489,359","114,026,400","45.05","46.80","44.10","46.80","+1.65","1,588",
"110/10/06","2,286,374","105,958,778","46.90","47.20","45.55","45.75","-1.05","1,696",
"110/10/07","1,396,227","64,593,242","46.70","46.80","45.70","46.50","+0.75","1,008",
"110/10/08","2,287,063","106,947,936","47.00","47.95","46.00","46.15","-0.35","1,522",
"110/10/12","3,851,707","182,113,271","46.00","48.00","45.70","47.75","+1.60","2,231",
"110/10/13","3,093,913","147,773,170","47.00","48.70","46.65","48.70","+0.95","2,418",
"110/10/14","1,940,541","93,679,962","48.10","49.30","47.70","48.00","-0.70","1,500",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
