"110年10月 3010 華立             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","1,014,679","80,890,624","80.50","80.50","79.10","80.00","-1.50","748",
"110/10/04","732,124","57,701,627","80.20","80.30","78.20","78.40","-1.60","532",
"110/10/05","536,412","41,617,998","77.30","78.50","76.50","78.30","-0.10","406",
"110/10/06","472,488","36,977,221","79.30","79.30","77.90","78.30"," 0.00","350",
"110/10/07","509,149","41,005,670","80.30","80.90","79.80","80.90","+2.60","413",
"110/10/08","519,751","42,396,374","81.10","81.90","80.90","81.90","+1.00","412",
"110/10/12","569,341","46,728,541","81.10","82.70","81.10","82.40","+0.50","505",
"110/10/13","490,840","40,040,679","82.90","82.90","80.90","81.50","-0.90","542",
"110/10/14","247,272","20,037,018","81.50","81.60","80.60","80.90","-0.60","211",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
