"110年10月 5434 崇越             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","1,207,569","161,609,268","137.00","137.00","132.00","135.00","-2.50","1,025",
"110/10/04","286,852","38,522,879","136.00","136.50","133.50","134.00","-1.00","338",
"110/10/05","600,008","79,577,341","132.50","134.50","129.50","134.00"," 0.00","687",
"110/10/06","191,096","25,623,561","134.00","134.50","133.00","134.50","+0.50","213",
"110/10/07","306,213","41,620,350","134.50","137.00","134.50","136.50","+2.00","276",
"110/10/08","191,525","26,265,590","136.50","138.00","136.00","137.50","+1.00","225",
"110/10/12","576,264","78,048,466","137.50","137.50","134.00","137.00","-0.50","507",
"110/10/13","209,320","28,354,817","137.00","137.50","134.50","136.50","-0.50","211",
"110/10/14","113,644","15,414,720","136.50","136.50","135.00","136.50"," 0.00","142",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
