"110年10月 6776 展碁國際         各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","173,062","6,634,646","39.00","39.00","38.00","38.00","-1.15","136",
"110/10/04","62,216","2,346,961","38.30","38.30","37.35","37.40","-0.60","68",
"110/10/05","57,979","2,164,060","37.05","37.75","37.00","37.60","+0.20","53",
"110/10/06","16,430","619,905","37.85","37.90","37.60","37.60"," 0.00","22",
"110/10/07","83,430","3,173,803","37.95","38.45","37.65","38.30","+0.70","67",
"110/10/08","103,971","4,082,276","39.85","39.85","38.70","38.70","+0.40","91",
"110/10/12","29,431","1,121,753","38.10","38.70","37.95","38.70"," 0.00","33",
"110/10/13","25,232","962,249","38.70","38.70","38.05","38.05","-0.65","31",
"110/10/14","30,100","1,144,865","38.25","38.25","37.95","38.20","+0.15","23",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
