"110年10月 2313 華通             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","9,167,582","329,468,951","36.90","36.90","35.40","35.55","-1.75","4,702",
"110/10/04","5,526,883","197,951,390","35.75","36.20","35.50","35.70","+0.15","2,874",
"110/10/05","6,383,068","227,251,145","35.25","36.05","34.85","35.90","+0.20","2,564",
"110/10/06","8,000,972","294,477,499","36.85","37.20","36.35","36.35","+0.45","4,129",
"110/10/07","4,170,128","154,701,918","36.65","37.35","36.60","37.05","+0.70","2,122",
"110/10/08","9,284,339","348,590,433","37.30","37.90","37.10","37.60","+0.55","4,414",
"110/10/12","4,206,457","155,488,130","36.85","37.45","36.40","37.10","-0.50","2,304",
"110/10/13","4,359,336","158,450,468","37.10","37.30","36.00","36.05","-1.05","2,470",
"110/10/14","3,441,296","124,411,094","36.25","36.75","35.75","36.05"," 0.00","1,870",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
