"110年10月 2327 國巨             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","6,198,626","2,638,033,810","436.00","436.50","417.50","418.00","-24.50","7,999",
"110/10/04","5,261,035","2,169,974,203","419.00","425.00","405.50","409.50","-8.50","4,992",
"110/10/05","4,904,382","2,001,363,205","398.00","417.00","397.50","417.00","+7.50","5,081",
"110/10/06","4,324,343","1,756,769,800","417.00","417.00","399.00","403.00","-14.00","4,990",
"110/10/07","3,468,271","1,430,370,181","407.50","416.50","406.50","415.50","+12.50","3,529",
"110/10/08","2,798,803","1,162,547,576","420.00","422.50","409.50","410.00","-5.50","3,467",
"110/10/12","2,879,217","1,185,257,688","404.00","417.00","402.00","414.00","+4.00","2,923",
"110/10/13","3,301,237","1,338,587,394","417.00","417.00","400.50","402.00","-12.00","4,052",
"110/10/14","1,719,404","697,080,593","405.00","409.00","401.50","405.50","+3.50","1,918",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
