"110年10月 2415 錩新             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","488,390","17,362,422","36.80","36.85","35.00","35.00","-2.15","405",
"110/10/04","539,390","18,490,654","35.25","35.80","33.60","33.60","-1.40","417",
"110/10/05","965,758","33,316,030","33.55","36.15","32.40","35.55","+1.95","626",
"110/10/06","342,047","12,004,524","35.55","35.75","34.65","34.95","-0.60","316",
"110/10/07","458,867","16,707,474","34.95","37.05","34.95","36.95","+2.00","393",
"110/10/08","363,937","13,595,794","37.00","38.10","36.90","37.30","+0.35","285",
"110/10/12","212,003","7,765,696","37.30","38.00","36.05","36.60","-0.70","180",
"110/10/13","417,469","14,838,261","36.60","36.80","35.00","35.25","-1.35","419",
"110/10/14","182,289","6,438,409","35.50","35.95","34.65","35.85","+0.60","147",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
