"110年10月 2428 興勤             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","406,935","65,466,388","165.50","165.50","158.00","160.50","-5.50","444",
"110/10/04","279,345","44,106,341","161.50","161.50","155.00","157.50","-3.00","281",
"110/10/05","267,824","42,269,985","152.50","161.00","151.50","159.50","+2.00","299",
"110/10/06","256,352","39,987,734","159.50","159.50","152.00","153.50","-6.00","315",
"110/10/07","576,650","93,823,099","155.50","166.00","155.00","163.00","+9.50","641",
"110/10/08","204,152","33,545,545","163.00","166.50","161.50","164.00","+1.00","216",
"110/10/12","175,861","28,625,873","163.50","165.50","161.00","161.00","-3.00","177",
"110/10/13","155,657","24,516,834","161.50","161.50","155.50","156.50","-4.50","202",
"110/10/14","134,797","21,231,534","158.50","160.00","154.50","158.50","+2.00","138",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
