"110年10月 2492 華新科           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","4,747,767","713,380,247","152.00","154.00","147.50","149.50","-3.50","3,884",
"110/10/04","2,434,726","359,943,367","150.00","152.00","146.00","146.00","-3.50","2,081",
"110/10/05","3,176,048","465,370,423","143.00","149.50","143.00","149.00","+3.00","2,347",
"110/10/06","3,233,682","469,739,268","150.50","150.50","143.00","143.50","-5.50","2,943",
"110/10/07","5,621,557","832,502,482","145.00","151.00","145.00","150.00","+6.50","3,513",
"110/10/08","2,629,114","392,623,125","150.00","152.50","147.00","148.00","-2.00","2,337",
"110/10/12","3,823,522","553,381,629","145.50","146.00","143.50","144.00","-4.00","2,692",
"110/10/13","4,560,189","639,102,592","144.50","145.50","138.00","138.50","-5.50","3,939",
"110/10/14","4,229,153","595,843,429","140.00","143.50","138.00","142.00","+3.50","2,673",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
