"110年10月 3026 禾伸堂           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","1,001,299","114,015,462","115.00","115.00","113.00","114.00","-2.00","820",
"110/10/04","1,045,607","116,867,862","114.00","114.50","110.50","111.50","-2.50","755",
"110/10/05","980,535","108,101,162","110.50","111.50","109.00","111.00","-0.50","758",
"110/10/06","979,434","107,178,178","112.00","112.50","108.00","110.00","-1.00","877",
"110/10/07","866,881","97,308,116","110.00","113.50","109.50","113.50","+3.50","672",
"110/10/08","1,452,175","160,561,687","112.00","112.00","109.50","111.00","-2.50","1,050",
"110/10/12","668,377","73,232,578","110.00","111.00","108.50","111.00"," 0.00","394",
"110/10/13","477,106","52,120,600","111.00","111.00","108.50","110.00","-1.00","405",
"110/10/14","462,620","50,460,395","110.00","111.00","108.00","109.50","-0.50","377",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
