"110年10月 3032 偉訓             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","176,136","5,531,226","31.70","31.80","31.20","31.35","-0.30","137",
"110/10/04","113,578","3,499,298","31.60","31.60","30.65","30.75","-0.60","95",
"110/10/05","124,796","3,826,626","30.75","31.05","30.30","30.60","-0.15","157",
"110/10/06","86,262","2,636,164","31.00","31.00","30.40","30.40","-0.20","64",
"110/10/07","85,003","2,622,140","30.55","30.95","30.45","30.85","+0.45","60",
"110/10/08","82,715","2,570,676","31.00","31.30","30.95","31.10","+0.25","59",
"110/10/12","97,031","2,996,762","31.10","31.10","30.65","31.00","-0.10","67",
"110/10/13","97,151","2,973,431","31.00","31.00","30.50","30.75","-0.25","87",
"110/10/14","30,102","926,541","30.80","30.90","30.65","30.90","+0.15","27",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
