"110年10月 3044 健鼎             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","1,103,986","123,992,300","111.50","113.50","110.50","113.00","+1.50","751",
"110/10/04","1,037,888","118,255,883","114.00","115.00","113.00","113.50","+0.50","1,083",
"110/10/05","1,661,671","184,502,503","114.00","114.50","110.00","110.50","-3.00","1,410",
"110/10/06","548,550","61,252,076","111.50","112.50","111.00","111.50","+1.00","409",
"110/10/07","925,351","105,094,305","112.50","114.50","112.50","113.00","+1.50","702",
"110/10/08","621,126","70,554,530","113.50","114.50","112.50","112.50","-0.50","468",
"110/10/12","867,032","96,609,682","111.50","112.50","110.00","111.00","-1.50","642",
"110/10/13","980,099","108,121,959","111.50","111.50","109.50","110.50","-0.50","783",
"110/10/14","595,444","66,371,501","110.50","112.50","110.50","111.50","+1.00","483",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
