"110年10月 3090 日電貿           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","614,338","31,313,595","51.30","51.60","50.60","50.60","-1.10","428",
"110/10/04","573,480","28,667,612","50.50","50.80","49.70","49.70","-0.90","465",
"110/10/05","434,109","21,404,241","49.70","49.85","48.80","49.85","+0.15","359",
"110/10/06","334,086","16,539,230","50.20","50.40","49.20","49.20","-0.65","334",
"110/10/07","362,283","18,207,507","49.30","50.80","49.30","50.40","+1.20","336",
"110/10/08","257,745","12,949,497","51.00","51.00","49.95","50.10","-0.30","310",
"110/10/12","357,032","17,714,479","50.10","50.10","49.50","49.55","-0.55","344",
"110/10/13","288,983","14,240,899","49.70","49.80","49.00","49.15","-0.40","266",
"110/10/14","185,276","9,126,318","49.25","49.65","49.00","49.15"," 0.00","186",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
