"110年10月 3308 聯德             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","159,255","1,204,137","7.72","7.78","7.44","7.49","-0.25","198",
"110/10/04","178,962","1,312,466","7.57","7.57","7.16","7.18","-0.31","270",
"110/10/05","35,587","259,678","7.19","7.48","7.18","7.36","+0.18","59",
"110/10/06","34,339","253,207","7.36","7.48","7.31","7.31","-0.05","74",
"110/10/07","146,490","1,082,403","7.40","7.50","7.31","7.50","+0.19","100",
"110/10/08","132,022","1,034,009","7.63","7.98","7.60","7.90","+0.40","96",
"110/10/12","72,364","577,181","7.90","8.28","7.88","7.90"," 0.00","66",
"110/10/13","56,525","447,089","7.98","7.99","7.82","7.82","-0.08","35",
"110/10/14","37,099","292,191","7.92","7.93","7.82","7.93","+0.11","46",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
