"110年10月 3376 新日興           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","668,903","67,414,898","102.50","102.50","99.50","101.00","-2.50","501",
"110/10/04","339,512","33,918,101","102.00","102.00","98.50","99.60","-1.40","320",
"110/10/05","477,693","47,594,728","99.60","101.00","97.50","100.50","+0.90","340",
"110/10/06","357,731","35,546,818","100.50","101.00","98.80","99.30","-1.20","489",
"110/10/07","351,901","35,238,479","100.00","101.00","100.00","100.00","+0.70","313",
"110/10/08","283,822","28,441,692","100.50","101.00","99.50","100.50","+0.50","235",
"110/10/12","369,010","36,727,593","99.20","100.50","98.50","99.60","-0.90","322",
"110/10/13","367,213","36,303,763","100.00","100.00","98.10","98.30","-1.30","336",
"110/10/14","424,689","41,817,428","99.00","99.60","97.50","99.60","+1.30","357",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
