"110年10月 3679 新至陞           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","89,487","7,148,286","81.10","81.10","79.00","79.20","-2.50","120",
"110/10/04","99,954","7,787,229","79.50","79.70","77.00","77.50","-1.70","119",
"110/10/05","56,121","4,339,442","76.60","78.00","76.30","77.20","-0.30","58",
"110/10/06","51,165","3,958,548","77.20","77.80","77.00","77.30","+0.10","52",
"110/10/07","54,344","4,308,177","78.70","79.90","78.50","79.70","+2.40","51",
"110/10/08","64,470","5,137,950","79.10","80.30","79.10","79.20","-0.50","65",
"110/10/12","169,660","12,936,926","78.00","78.00","75.00","75.10","-4.10","188",
"110/10/13","122,560","9,004,037","75.30","75.30","72.40","72.90","-2.20","133",
"110/10/14","40,160","2,934,324","72.60","74.00","72.30","73.70","+0.80","44",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
