"110年10月 6153 嘉聯益           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","2,066,609","52,498,399","26.00","26.00","25.05","25.10","-1.05","1,321",
"110/10/04","3,900,156","95,088,863","25.35","25.40","24.00","24.00","-1.10","2,009",
"110/10/05","2,588,252","60,929,169","23.50","24.15","22.80","23.85","-0.15","1,401",
"110/10/06","1,876,487","44,367,017","24.20","24.30","23.25","23.25","-0.60","1,236",
"110/10/07","2,039,728","49,299,260","23.50","24.55","23.50","24.20","+0.95","1,124",
"110/10/08","1,008,260","24,514,939","24.20","24.65","24.10","24.35","+0.15","627",
"110/10/12","2,482,360","58,460,557","24.00","24.30","23.20","23.60","-0.75","1,582",
"110/10/13","2,574,594","59,354,110","23.85","23.85","22.80","22.95","-0.65","1,369",
"110/10/14","1,025,175","23,704,161","23.30","23.40","22.85","23.25","+0.30","677",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
