"110年10月 6205 詮欣             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","93,100","2,843,826","30.50","30.80","30.45","30.50","-0.40","59",
"110/10/04","87,001","2,620,230","30.05","30.25","30.05","30.25","-0.25","45",
"110/10/05","144,039","4,307,389","29.70","30.25","29.65","30.25"," 0.00","67",
"110/10/06","59,000","1,768,300","30.10","30.15","29.80","30.10","-0.15","39",
"110/10/07","22,001","665,380","30.25","30.35","30.05","30.35","+0.25","20",
"110/10/08","302,513","9,061,815","29.95","30.20","29.70","30.20","-0.15","155",
"110/10/12","92,000","2,747,500","30.65","30.65","29.60","30.15","-0.05","47",
"110/10/13","81,125","2,424,162","29.95","30.20","29.75","30.20","+0.05","44",
"110/10/14","69,160","2,065,619","29.95","30.25","29.75","30.05","-0.15","51",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
