"110年10月 6672 騰輝電子-KY      各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","1,439,629","185,499,688","131.50","131.50","127.00","128.00","-4.00","1,115",
"110/10/04","1,340,851","168,994,892","129.00","130.50","123.00","123.50","-4.50","987",
"110/10/05","1,831,872","228,046,139","119.00","129.00","118.00","129.00","+5.50","1,628",
"110/10/06","1,401,568","174,166,289","131.00","131.00","120.50","121.50","-7.50","1,296",
"110/10/07","1,162,198","146,518,336","122.00","128.00","122.00","127.50","+6.00","916",
"110/10/08","773,460","97,736,696","128.50","129.00","124.50","125.00","-2.50","564",
"110/10/12","813,815","99,913,375","123.00","126.00","121.00","122.50","-2.50","640",
"110/10/13","683,707","83,089,093","124.00","125.50","120.00","120.00","-2.50","838",
"110/10/14","878,581","108,621,382","121.50","125.50","121.50","124.50","+4.50","724",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
