"110年10月 1504 東元             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","2,975,945","90,404,971","30.85","30.85","30.15","30.35","-0.90","1,532",
"110/10/04","1,223,320","37,075,661","30.65","30.65","30.15","30.45","+0.10","676",
"110/10/05","1,824,851","55,125,934","30.45","30.55","29.90","30.55","+0.10","1,130",
"110/10/06","3,612,208","111,058,199","30.55","31.15","30.50","31.15","+0.60","2,049",
"110/10/07","2,323,105","72,179,554","31.40","31.40","30.85","30.95","-0.20","1,356",
"110/10/08","1,756,731","54,597,178","31.20","31.25","30.95","30.95"," 0.00","1,047",
"110/10/12","2,670,060","80,771,653","30.40","30.55","30.05","30.25","-0.70","1,556",
"110/10/13","1,478,079","44,720,490","30.50","30.65","30.10","30.15","-0.10","796",
"110/10/14","1,785,480","53,683,433","30.45","30.45","29.85","29.90","-0.25","1,019",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
